0 0 0 
0.01 0 -0 
0.02 5.00257e-05 1.38205e-05 
0.03 0.000199965 5.53692e-05 
0.04 0.000449605 0.000124812 
0.05 0.000798721 0.000222259 
0.06 0.00124708 0.000347771 
0.07 0.00179445 0.000501356 
0.08 0.00244056 0.000682975 
0.09 0.00318516 0.000892546 
0.1 0.00402798 0.00112995 
0.11 0.00496874 0.00139502 
0.12 0.00600715 0.00168759 
0.13 0.0071429 0.00200743 
0.14 0.0083757 0.00235432 
0.15 0.00970523 0.00272801 
0.16 0.0111312 0.00312826 
0.17 0.0126532 0.0035548 
0.18 0.0142709 0.00400737 
0.19 0.015984 0.0044857 
0.2 0.017792 0.00498956 
0.21 0.0196948 0.00551867 
0.22 0.0216918 0.00607279 
0.23 0.0237826 0.0066517 
0.24 0.0259669 0.00725515 
0.25 0.0282443 0.00788292 
0.26 0.0306144 0.0085348 
0.27 0.0330767 0.00921058 
0.28 0.0356307 0.00991003 
0.29 0.0382762 0.010633 
0.3 0.0410125 0.0113792 
0.31 0.0438392 0.0121484 
0.32 0.046756 0.0129406 
0.33 0.0497622 0.0137553 
0.34 0.0528574 0.0145926 
0.35 0.0560411 0.015452 
0.36 0.0593129 0.0163334 
0.37 0.062672 0.0172366 
0.38 0.0661182 0.0181614 
0.39 0.0696507 0.0191074 
0.4 0.0732691 0.0200746 
0.41 0.0769727 0.0210625 
0.42 0.0807611 0.022071 
0.43 0.0846336 0.0230998 
0.44 0.0885895 0.0241487 
0.45 0.0926284 0.0252174 
0.46 0.0967496 0.0263055 
0.47 0.100952 0.0274129 
0.48 0.105236 0.0285393 
0.49 0.1096 0.0296843 
0.5 0.114044 0.0308477 
0.51 0.118566 0.0320291 
0.52 0.123167 0.0332283 
0.53 0.127845 0.0344449 
0.54 0.1326 0.0356786 
0.55 0.137431 0.036929 
0.56 0.142337 0.0381959 
0.57 0.147317 0.0394787 
0.58 0.152371 0.0407773 
0.59 0.157497 0.0420911 
0.6 0.162695 0.0434199 
0.61 0.167963 0.0447631 
0.62 0.173302 0.0461203 
0.63 0.17871 0.0474912 
0.64 0.184185 0.0488753 
0.65 0.189727 0.0502721 
0.66 0.195336 0.0516811 
0.67 0.201009 0.0531019 
0.68 0.206745 0.0545339 
0.69 0.212545 0.0559766 
0.7 0.218405 0.0574295 
0.71 0.224326 0.058892 
0.72 0.230306 0.0603635 
0.73 0.236344 0.0618434 
0.74 0.242438 0.0633311 
0.75 0.248586 0.064826 
0.76 0.254789 0.0663273 
0.77 0.261044 0.0678344 
0.78 0.267349 0.0693466 
0.79 0.273703 0.0708631 
0.8 0.280106 0.0723832 
0.81 0.286554 0.073906 
0.82 0.293046 0.0754308 
0.83 0.299581 0.0769567 
0.84 0.306157 0.0784829 
0.85 0.312772 0.0800084 
0.86 0.319424 0.0815323 
0.87 0.326112 0.0830537 
0.88 0.332832 0.0845715 
0.89 0.339584 0.0860848 
0.9 0.346365 0.0875925 
0.91 0.353173 0.0890935 
0.92 0.360006 0.0905868 
0.93 0.366862 0.0920711 
0.94 0.373738 0.0935455 
0.95 0.380631 0.0950085 
0.96 0.38754 0.0964591 
0.97 0.394462 0.097896 
0.98 0.401394 0.099318 
0.99 0.408334 0.100724 
1 0.415279 0.102112 
1.01 0.422227 0.103481 
1.02 0.429174 0.10483 
1.03 0.436117 0.106157 
1.04 0.443054 0.107461 
1.05 0.449982 0.10874 
1.06 0.456898 0.109994 
1.07 0.463798 0.11122 
1.08 0.47068 0.112417 
1.09 0.47754 0.113584 
1.1 0.484375 0.114719 
1.11 0.491181 0.115821 
1.12 0.497956 0.116888 
1.13 0.504696 0.117918 
1.14 0.511397 0.118911 
1.15 0.518056 0.119864 
1.16 0.52467 0.120777 
1.17 0.531234 0.121648 
1.18 0.537746 0.122474 
1.19 0.544201 0.123256 
1.2 0.550596 0.123992 
1.21 0.556928 0.124679 
1.22 0.563192 0.125318 
1.23 0.569385 0.125906 
1.24 0.575503 0.126442 
1.25 0.581543 0.126926 
1.26 0.587501 0.127355 
1.27 0.593372 0.12773 
1.28 0.599154 0.128048 
1.29 0.604843 0.12831 
1.3 0.610435 0.128513 
1.31 0.615926 0.128657 
1.32 0.621313 0.128742 
1.33 0.626592 0.128766 
1.34 0.63176 0.12873 
1.35 0.636814 0.128632 
1.36 0.641749 0.128472 
1.37 0.646563 0.12825 
1.38 0.651252 0.127966 
1.39 0.655813 0.127619 
1.4 0.660243 0.12721 
1.41 0.664538 0.126738 
1.42 0.668697 0.126204 
1.43 0.672716 0.125608 
1.44 0.676592 0.124951 
1.45 0.680322 0.124233 
1.46 0.683905 0.123454 
1.47 0.687337 0.122616 
1.48 0.690617 0.12172 
1.49 0.693741 0.120767 
1.5 0.696709 0.119757 
1.51 0.699518 0.118692 
1.52 0.702166 0.117575 
1.53 0.704652 0.116405 
1.54 0.706973 0.115186 
1.55 0.70913 0.113919 
1.56 0.71112 0.112606 
1.57 0.712942 0.111249 
1.58 0.714595 0.109851 
1.59 0.71608 0.108415 
1.6 0.717394 0.106942 
1.61 0.718538 0.105437 
1.62 0.71951 0.103901 
1.63 0.720312 0.102338 
1.64 0.720943 0.100753 
1.65 0.721402 0.0991467 
1.66 0.721691 0.0975248 
1.67 0.72181 0.0958907 
1.68 0.721759 0.0942486 
1.69 0.721538 0.0926027 
1.7 0.72115 0.0909576 
1.71 0.720594 0.089318 
1.72 0.719873 0.0876889 
1.73 0.718986 0.0860753 
1.74 0.717937 0.0844825 
1.75 0.716725 0.0829161 
1.76 0.715353 0.0813816 
